name,institution,homepage,act,ai,arch,bed,bio,chi,comm,crypt,da,ecom,graph,hpc,ir,log,metrics,mlmining,mobile,mod,nlp,ops,plan,robotics,sec,soft,vision,visualization
Mel Slater,University College London,http://www0.cs.ucl.ac.uk/staff/m.slater/Mel_Slaters_Home_Page/Home.html,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Meng Wang 0002,University of Bristol,https://mengwangoxf.github.io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Miaojing Shi,King's College London,https://www.kcl.ac.uk/people/miaojing-shi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0
Michael Benedikt,University of Oxford,https://www.cs.ox.ac.uk/michael.benedikt,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,29,0,0,1,0,0,0,0,0
Michael Cashmore,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/michael-cashmore/publications,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Michael Crabb,University of Dundee,https://discovery.dundee.ac.uk/en/persons/michael-crabb,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael E. Tipping,University of Bath,http://www.miketipping.com,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0
Michael F. P. O'Boyle,University of Edinburgh,http://www.dcs.ed.ac.uk/~mob,0,0,8,0,0,0,0,0,2,0,0,5,0,0,0,3,0,0,0,0,4,4,0,1,0,0
Michael Fairbank,University of Essex,https://www.essex.ac.uk/people/fairb54300/michael-fairbank,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Fisher 0001,University of Liverpool,http://www.csc.liv.ac.uk/~michael,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Michael Goldsmith,University of Oxford,https://www.cs.ox.ac.uk/people/michael.goldsmith,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Michael Huth,Imperial College London,http://www.doc.ic.ac.uk/~mrh,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
Michael J. Wooldridge,University of Oxford,http://www.cs.ox.ac.uk/people/michael.wooldridge,0,11,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
