name,institution,homepage,act,ai,arch,bed,bio,chi,comm,crypt,da,ecom,graph,hpc,ir,log,metrics,mlmining,mobile,mod,nlp,ops,plan,robotics,sec,soft,vision,visualization
Pascal Berrang,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/academic-staff/berrang-pascal.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Patrick G. T. Healey,Queen Mary University of London,http://www.eecs.qmul.ac.uk/profiles/healeypat.html,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Prosser,University of Glasgow,http://www.dcs.gla.ac.uk/~pat,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Patrick Totzke,University of Liverpool,https://cgi.csc.liv.ac.uk/~patrick,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Paul A. Jenkins,University of Warwick,https://warwick.ac.uk/fac/sci/statistics/staff/academic-research/jenkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Paul Anderson,University of Edinburgh,http://www.dcs.ed.ac.uk/~paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Paul Blain Levy,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/academic-staff/levy-paul.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0
Paul Blain Levy,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/levy-paul.aspx,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0
Paul E. Dunne,University of Liverpool,http://www.csc.liv.ac.uk/~ped,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul G. Spirakis,University of Liverpool,https://www.liverpool.ac.uk/computer-science/staff/paul-spirakis,9,0,0,0,0,0,0,0,0,14,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0
Paul H. J. Kelly,Imperial College London,https://www.imperial.ac.uk/people/p.kelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,2,0
Paul L. Rosin,Cardiff University,https://www.cardiff.ac.uk/people/view/118160-rosin-paul,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Paul Marshall,University of Bristol,http://www.bristol.ac.uk/engineering/people/paul-e-marshall/index.html,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Miller 0003,Queen's University Belfast,https://www.qub.ac.uk/schools/eeecs/Connect/Staff/BusinessCard/?name=p.miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Paul Patras,University of Edinburgh,http://homepages.inf.ed.ac.uk/ppatras,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Paul Piwek,Open University UK,http://stem.open.ac.uk/people/pp2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Paul Rayson,Lancaster University,https://www.lancaster.ac.uk/scc/about-us/people/paul-rayson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Paul Tennent,University of Nottingham,https://www.nottingham.ac.uk/computerscience/people/paul.tennent,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul W. Goldberg,University of Oxford,https://www.cs.ox.ac.uk/people/paul.goldberg,9,1,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Paula Buttery,University of Cambridge,https://www.cl.cam.ac.uk/~pjb48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pavel Naumov,University of Southampton,https://pavelnaumov.com,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peggy Seriès,University of Edinburgh,http://homepages.inf.ed.ac.uk/pseries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Perdita Stevens,University of Edinburgh,http://homepages.inf.ed.ac.uk/perdita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Peter A. Flach,University of Bristol,https://www.cs.bris.ac.uk/~flach,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0
Peter Bishop 0001,City University of London,https://www.city.ac.uk/people/academics/peter-bishop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Peter Buneman,University of Edinburgh,http://homepages.inf.ed.ac.uk/opb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,1,0,0,0,0,0
Peter C.-H. Cheng,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/100650,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter G. Harrison,Imperial College London,http://www.imperial.ac.uk/people/p.harrison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Peter Hall 0001,University of Bath,http://www.cs.bath.ac.uk/~pmh/start/home.html,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0
Peter I. Cowling,University of York,https://www-users.cs.york.ac.uk/~pic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Peter J. Passmore,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/passmore-peter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Peter Jeavons 0001,University of Oxford,http://www.cs.ox.ac.uk/peter.jeavons,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Johnson 0001,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/peter_johnson,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Kilpatrick,Queen's University Belfast,https://www.qub.ac.uk/schools/eeecs/Connect/Staff/BusinessCard/?name=p.kilpatrick,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Komisarczuk,Royal Holloway University of London,https://pure.royalholloway.ac.uk/portal/en/persons/peter-komisarczuk(2f94b004-09d5-44ca-ba25-f2866f5c9bc7).html,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter McBrien,Imperial College London,http://www.doc.ic.ac.uk/~pjm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Peter McBurney,King's College London,https://www.kcl.ac.uk/people/peter-mcburney,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Nightingale,University of York,https://www-users.cs.york.ac.uk/pwn503,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Peter R. Pietzuch,Imperial College London,https://www.doc.ic.ac.uk/~prp,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,1,0,0,0
Peter Robinson 0001,University of Cambridge,https://www.cl.cam.ac.uk/~pr10,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Peter Schrammel,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/384323,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0
Peter Sewell,University of Cambridge,https://www.cl.cam.ac.uk/~pes20,0,0,2,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,1,27,0,3,0,0,0
Peter T. Wood,Birkbeck University of London,https://www.dcs.bbk.ac.uk/about/people/academic-staff/ptw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Peter Tiño,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/academic-staff/tino-peter-cs.aspx,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Peter Triantafillou,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/peter_triantafillou,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,15,0,0,0,0,0,0,0,0
Petr Slovák,King's College London,https://www.kcl.ac.uk/people/petr-slovak,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Blunsom,University of Oxford,https://www.cs.ox.ac.uk/people/phil.blunsom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,39,0,0,0,0,0,1,0
Phil D. Green,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/philip-green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Phil J. Bartie,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/Phil-Bartie.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Phil McMinn,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/phil-mcminn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Philip C. Treleaven,University College London,http://www0.cs.ucl.ac.uk/staff/p.treleaven,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philip W. Trinder,University of Glasgow,http://www.dcs.gla.ac.uk/~trinder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Philip Wadler,University of Edinburgh,http://homepages.inf.ed.ac.uk/wadler,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,25,0,0,0,0,0
Philipp Jovanovic,University College London,https://philipp.jovanovic.io,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0
Philippa Gardner,Imperial College London,https://www.doc.ic.ac.uk/~pg,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,11,0,0,0,0,0
Pierre Olivier,University of Manchester,https://sites.google.com/view/pierreolivier,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pietro Liò,University of Cambridge,https://www.cl.cam.ac.uk/~pl219,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
Piotr Krysta,University of Liverpool,http://www.csc.liv.ac.uk/~piotr,9,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pooya Farshim,Durham University,https://farshim.github.io,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prudence W. H. Wong,University of Liverpool,https://www.liverpool.ac.uk/computer-science/staff/prudence-wong,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qinggang Meng,Loughborough University,https://www.lboro.ac.uk/departments/compsci/staff/academic-teaching/qinggang-meng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Rachel Menzies,University of Dundee,https://discovery.dundee.ac.uk/en/persons/rachel-menzies,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rachid Hourizi,University of Bath,http://www.bath.ac.uk/cdas/people/associates/rachid-hourizi/index.html,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radu Calinescu,University of York,https://www-users.cs.york.ac.uk/~raduc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Radu Grigore,University of Kent,https://www.cs.kent.ac.uk/people/staff/rg399,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0
Radu Jianu,City University of London,https://www.city.ac.uk/people/academics/radu-jianu,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Rafal Mantiuk,University of Cambridge,https://www.cl.cam.ac.uk/~rkm38,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,6,1
Rahul Santhanam,University of Oxford,https://www.cs.ox.ac.uk/people/rahul.santhanam,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rahul Savani,University of Liverpool,https://cgi.csc.liv.ac.uk/~rahul,5,1,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Rajagopal Nagarajan,Middlesex University,http://www.cs.mdx.ac.uk/people/rajagopal_nagarajan/raja,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Rajesh Hemant Chitnis,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/chitnis-rajesh.aspx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ran Ben-Basat,University College London,https://www.bbasat.com,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0
Ranko Lazic 0001,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/ranko_lazic/biography,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Raphaël Clifford,University of Bristol,http://www.cs.bris.ac.uk/~clifford,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rasmus Ibsen-Jensen,University of Liverpool,https://www.liverpool.ac.uk/computer-science/staff/rasmus-ibsen-jensen,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
Rebecca Fiebrink,Goldsmiths University of London,https://www.gold.ac.uk/computing/people/fiebrink-rebecca,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reinhold Scherer,University of Essex,https://www.essex.ac.uk/people/scher51108/reinhold-scherer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Renate A. Schmidt,University of Manchester,http://www.cs.man.ac.uk/~schmidt,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reuben Binns,University of Oxford,https://www.cs.ox.ac.uk/people/reuben.binns,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Reuben N. S. Rowe,Royal Holloway University of London,https://pure.royalholloway.ac.uk/portal/en/persons/reuben-rowe(70354339-7bc5-475d-b8d5-7fa95114d851).html,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
Richard Banach,University of Manchester,https://www.research.manchester.ac.uk/portal/richard.banach.html,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Booth 0001,Cardiff University,https://www.cardiff.ac.uk/people/view/473179-booth-richard,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Bowden,University of Surrey,http://personal.ee.surrey.ac.uk/Personal/R.Bowden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,32,0
Richard C. Wilson 0001,University of York,https://www-users.cs.york.ac.uk/wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0
Richard E. Jones,University of Kent,https://www.cs.kent.ac.uk/~rej,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Richard Harper 0001,Lancaster University,https://www.lancaster.ac.uk/scc/about-us/people/richard-harper,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Richard Mayr,University of Edinburgh,http://homepages.inf.ed.ac.uk/rmayr,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0
Richard Mortier,University of Cambridge,http://mort.io,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
Rida Laraki,University of Liverpool,https://sites.google.com/site/ridalaraki,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Rik Sarkar,University of Edinburgh,http://homepages.inf.ed.ac.uk/rsarkar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0
Rishiraj Bhattacharyya,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/academic-staff/bhattacharyya-rishiraj.aspx,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rita Borgo,King's College London,https://www.kcl.ac.uk/people/rita-borgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Rizos Sakellariou,University of Manchester,http://www.cs.man.ac.uk/~rizos,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rob Procter,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/rob_procter,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Robert Atkey,University of Strathclyde,https://pureportal.strath.ac.uk/en/persons/bob-atkey/publications,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0
Robert B. Fisher,University of Edinburgh,http://homepages.inf.ed.ac.uk/rbf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,8,0
Robert D. Mullins,University of Cambridge,https://www.cl.cam.ac.uk/~rdm34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Robert Granger,University of Surrey,https://www.surrey.ac.uk/people/robert-granger,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert I. Davis,University of York,https://www-users.cs.york.ac.uk/~robdavis,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert J. Gaizauskas,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/rob-gaizauskas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0
Robert J. Hendley,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/hendley-bob.aspx,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Robert K. Harle,University of Cambridge,https://www.cl.cam.ac.uk/~rkh23,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
Robert M. Hierons,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/rob-hierons,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
Robert Mullins,University of Cambridge,https://www.cl.cam.ac.uk/~rdm34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Robert N. M. Watson,University of Cambridge,https://www.cl.cam.ac.uk/~rnw24,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8,0,0,0
Robert Powell,Durham University,https://www.dur.ac.uk/computer.science/staff/profile/?id=8278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Stevens 0001,University of Manchester,https://www.research.manchester.ac.uk/portal/robert.stevens.html,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin C. Laney,Open University UK,http://stem.open.ac.uk/people/rcl46,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin Hirsch,University College London,http://www.cs.ucl.ac.uk/staff/robin_hirsch,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Robin L. Hill,University of Edinburgh,http://www.robin.org.uk,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Roderick Murray-Smith,University of Glasgow,http://www.dcs.gla.ac.uk/~rod,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0
Rodger Kibble,Goldsmiths University of London,https://www.gold.ac.uk/computing/staff/r-kibble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Roger M. Whitaker,Cardiff University,https://www.cardiff.ac.uk/people/view/118176-whitaker-roger,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rogério de Lemos,University of Kent,https://www.cs.kent.ac.uk/people/staff/rdl,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roman Kontchakov,Birkbeck University of London,https://www.dcs.bbk.ac.uk/about/people/academic-staff/roman,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Ron Poet,University of Glasgow,http://www.dcs.gla.ac.uk/~ron,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronald P. A. Petrick,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/ron-petrick.htm,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Ross Anderson,University of Cambridge,https://www.cl.cam.ac.uk/~rja14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Ross D. King,University of Manchester,https://www.research.manchester.ac.uk/portal/ross.king.html,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Ross J. Anderson,University of Cambridge,https://www.cl.cam.ac.uk/~rja14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0
Ross Paterson,City University of London,https://www.city.ac.uk/people/academics/ross-paterson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Roy A. Ruddle,University of Leeds,https://eps.leeds.ac.uk/computing/staff/257/professor-roy-ruddle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Ruben Kruiper,Heriot-Watt University,https://www.hw.ac.uk/uk/profiles/teaching/macs/ruben-kruiper.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rui Ponte Costa,University of Bristol,http://www.bristol.ac.uk/engineering/departments/computerscience/people/rui-a-ponte-costa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Rumyana Neykova,Brunel University London,https://www.brunel.ac.uk/people/rumyana-neykova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ruth Misener,Imperial College London,https://wp.doc.ic.ac.uk/rmisener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Ruzanna Chitchyan,University of Bristol,http://www.bristol.ac.uk/engineering/departments/computerscience/people/ruzanna-chitchyan,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
S. Shaheen Fatima,Loughborough University,https://www.lboro.ac.uk/departments/compsci/staff/academic-teaching/shaheen-fatima,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Staton,University of Oxford,http://www.cs.ox.ac.uk/people/samuel.staton/main.html,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0
Samson Abramsky,University College London,https://www.cs.ox.ac.uk/samson.abramsky,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0
Sandy Gould,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/gould-sandy.aspx,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanjay Modgil,King's College London,https://www.kcl.ac.uk/people/sanjay-modgil,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanjay Rawat 0001,University of Bristol,http://www.bristol.ac.uk/engineering/people/sanjay-rawat/index.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sara Bernardini,Royal Holloway University of London,https://pure.royalholloway.ac.uk/portal/en/persons/sara-bernardini(775b7f60-f913-4a31-aac5-85231cd69f11).html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sara Heitlinger,City University of London,https://www.city.ac.uk/people/academics/sara-heitlinger,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarah Clinch,University of Manchester,https://www.research.manchester.ac.uk/portal/sarah.clinch.html,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarah Wiseman,Goldsmiths University of London,https://www.gold.ac.uk/computing/people/wiseman-sarah,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarvapali D. Ramchurn,University of Southampton,https://www.ecs.soton.ac.uk/people/sdr1,0,11,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sasa Radomirovic,University of Surrey,https://www.surrey.ac.uk/people/sasa-radomirovic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Sayan Bhattacharya,University of Warwick,https://www.dcs.warwick.ac.uk/~u1671158,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott Owens,University of Kent,https://www.cs.kent.ac.uk/~sao,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,0,0,0,0
Scott Piao,Lancaster University,https://www.lancaster.ac.uk/scc/about-us/people/scott-piao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Sean B. Holden,University of Cambridge,https://www.cl.cam.ac.uk/~sbh11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Sean Bechhofer,University of Manchester,http://www.cs.man.ac.uk/~seanb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
